categoria_grupo,categoria_subgrupo,categoria_item,categoria_subitem
Alimentação e bebidas,Alimentação fora do domicílio,Alimentação fora do domicílio,Café da manhã
Alimentação e bebidas,Alimentação fora do domicílio,Alimentação fora do domicílio,Cafezinho
Alimentação e bebidas,Alimentação fora do domicílio,Alimentação fora do domicílio,Cerveja
Alimentação e bebidas,Alimentação fora do domicílio,Alimentação fora do domicílio,Chopp
Alimentação e bebidas,Alimentação fora do domicílio,Alimentação fora do domicílio,Doces
Alimentação e bebidas,Alimentação fora do domicílio,Alimentação fora do domicílio,Lanche
Alimentação e bebidas,Alimentação fora do domicílio,Alimentação fora do domicílio,Outras bebidas alcoólicas
Alimentação e bebidas,Alimentação fora do domicílio,Alimentação fora do domicílio,Refeição
Alimentação e bebidas,Alimentação fora do domicílio,Alimentação fora do domicílio,Refrigerante e água mineral
Alimentação e bebidas,Alimentação fora do domicílio,Alimentação fora do domicílio,Sorvete
Alimentação e bebidas,Alimentação fora do domicílio,Alimentação fora do domicílio,Vinho
Alimentação e bebidas,Alimentação no domicílio,Açúcares e derivados,Açúcar cristal
Alimentação e bebidas,Alimentação no domicílio,Açúcares e derivados,Açúcar demerara
Alimentação e bebidas,Alimentação no domicílio,Açúcares e derivados,Açúcar refinado
Alimentação e bebidas,Alimentação no domicílio,Açúcares e derivados,Balas
Alimentação e bebidas,Alimentação no domicílio,Açúcares e derivados,Chocolate e achocolatado em pó
Alimentação e bebidas,Alimentação no domicílio,Açúcares e derivados,Chocolate em barra e bombom
Alimentação e bebidas,Alimentação no domicílio,Açúcares e derivados,Doce de frutas em pasta
Alimentação e bebidas,Alimentação no domicílio,Açúcares e derivados,Doce de leite
Alimentação e bebidas,Alimentação no domicílio,Açúcares e derivados,Gelatina
Alimentação e bebidas,Alimentação no domicílio,Açúcares e derivados,Sorvete
Alimentação e bebidas,Alimentação no domicílio,Aves e ovos,Frango em pedaços
Alimentação e bebidas,Alimentação no domicílio,Aves e ovos,Frango inteiro
Alimentação e bebidas,Alimentação no domicílio,Aves e ovos,Ovo de galinha
Alimentação e bebidas,Alimentação no domicílio,Bebidas e infusões,Açaí (emulsão)
Alimentação e bebidas,Alimentação no domicílio,Bebidas e infusões,Café moído
Alimentação e bebidas,Alimentação no domicílio,Bebidas e infusões,Café solúvel
Alimentação e bebidas,Alimentação no domicílio,Bebidas e infusões,Cerveja
Alimentação e bebidas,Alimentação no domicílio,Bebidas e infusões,Chá
Alimentação e bebidas,Alimentação no domicílio,Bebidas e infusões,Chá mate (erva mate)
Alimentação e bebidas,Alimentação no domicílio,Bebidas e infusões,Outras bebidas alcoólicas
Alimentação e bebidas,Alimentação no domicílio,Bebidas e infusões,Polpa de açaí
Alimentação e bebidas,Alimentação no domicílio,Bebidas e infusões,Polpa de fruta (congelada)
Alimentação e bebidas,Alimentação no domicílio,Bebidas e infusões,Refrigerante e água mineral
Alimentação e bebidas,Alimentação no domicílio,Bebidas e infusões,Suco de frutas
Alimentação e bebidas,Alimentação no domicílio,Bebidas e infusões,Suco em pó
Alimentação e bebidas,Alimentação no domicílio,Bebidas e infusões,Vinho
Alimentação e bebidas,Alimentação no domicílio,Carnes,Acém
Alimentação e bebidas,Alimentação no domicílio,Carnes,Alcatra
Alimentação e bebidas,Alimentação no domicílio,Carnes,Capa de filé
Alimentação e bebidas,Alimentação no domicílio,Carnes,Carne de carneiro
Alimentação e bebidas,Alimentação no domicílio,Carnes,Carne de porco
Alimentação e bebidas,Alimentação no domicílio,Carnes,Chã de dentro
Alimentação e bebidas,Alimentação no domicílio,Carnes,Contrafilé
Alimentação e bebidas,Alimentação no domicílio,Carnes,Costela
Alimentação e bebidas,Alimentação no domicílio,Carnes,Cupim
Alimentação e bebidas,Alimentação no domicílio,Carnes,Fígado
Alimentação e bebidas,Alimentação no domicílio,Carnes,Filé-mignon
Alimentação e bebidas,Alimentação no domicílio,Carnes,Lagarto comum
Alimentação e bebidas,Alimentação no domicílio,Carnes,Lagarto plano
Alimentação e bebidas,Alimentação no domicílio,Carnes,Lagarto redondo
Alimentação e bebidas,Alimentação no domicílio,Carnes,Músculo
